City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hede,CN,77.95,broken clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
2,Bengkulu,ID,74.8,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
3,Sola,VU,75.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
4,Muskegon,US,75.22,few clouds,43.3,-86.1334,Timberline Estates
5,Atuona,PF,78.24,few clouds,-9.8,-139.0333,Villa Enata
7,Grindavik,IS,51.75,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
9,Mataura,NZ,57.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
14,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Cape Town,ZA,57.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
16,Kodiak,US,56.91,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
17,Lebu,CL,50.81,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
20,Ostrovnoy,RU,51.35,overcast clouds,68.0531,39.5131,
21,Jamestown,US,70.92,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Parabel,RU,58.41,broken clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
29,Shangzhi,CN,68.27,clear sky,45.2167,127.9667,Ocean Zhixing Business Clubhouse
32,Pathalgaon,IN,74.82,overcast clouds,22.5667,83.4667,Queens Park Marriage Garden
33,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
34,Fort Saint James,CA,74.32,broken clouds,54.4333,-124.25,The View Hotel
36,Palaikastron,GR,74.97,clear sky,35.2,26.25,Marina Village
37,Bredasdorp,ZA,53.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
38,Aklavik,CA,59.72,overcast clouds,68.2191,-135.0107,Aklavik Inn
39,Ribeira Grande,PT,72.52,broken clouds,38.5167,-28.7,Quinta da Meia Eira
40,Port Alfred,ZA,58.98,clear sky,-33.5906,26.891,The Halyards Hotel
41,Bethel,US,74.64,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
42,Haradok,BY,55.58,few clouds,55.4624,29.9816,"Gostinitsa ""Sportivnyy Gorodok"""
43,Lompoc,US,74.88,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
44,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
45,Bonavista,CA,73.4,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
46,Buncrana,IE,54.0,overcast clouds,55.1333,-7.45,Inishowen Gateway Hotel
47,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,Tuktoyaktuk,CA,57.2,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
53,Srednekolymsk,RU,51.6,overcast clouds,67.45,153.6833,
54,Albany,US,68.63,overcast clouds,42.6001,-73.9662,
55,Rikitea,PF,74.79,clear sky,-23.1203,-134.9692,People ThankYou
56,Bluff,NZ,57.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,Bitkine,TD,74.75,broken clouds,11.9801,18.2138,
58,Bagotville,AU,72.64,scattered clouds,-28.9833,153.4167,Broadwater Stopover Tourist Park
59,Palmas De Monte Alto,BR,73.18,scattered clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
60,Port Hardy,CA,59.18,mist,50.6996,-127.4199,Airport Inn
63,Milford,US,75.29,clear sky,41.2223,-73.0565,Homewood Suites by Hilton Stratford
66,Pavlohrad,UA,61.75,overcast clouds,48.5167,35.8667,Kompleks Stylʹ
68,Pizhanka,RU,60.53,broken clouds,57.4604,48.542,Gostinitsa
69,Huejuquilla El Alto,MX,75.43,broken clouds,22.6,-103.8667,Hotel Huexuquillan
72,Yellowknife,CA,61.32,broken clouds,62.456,-114.3525,The Explorer Hotel
74,Asau,RO,66.96,clear sky,46.4333,26.4,Casa Mika Ciobanus
77,Broken Hill,AU,53.19,clear sky,-31.95,141.4333,Royal Exchange Hotel
78,Faanui,PF,78.91,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
79,Belyy Yar,RU,57.09,clear sky,53.6039,91.3903,Pasportnyy Stol
80,Busselton,AU,57.04,clear sky,-33.65,115.3333,Observatory Guest House
81,Jambi,ID,73.78,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
82,Tasiilaq,GL,50.16,overcast clouds,65.6145,-37.6368,The Red House
83,Caloundra,AU,78.35,clear sky,-26.8,153.1333,Watermark Resort Caloundra
84,Sayat,TM,66.07,clear sky,38.7839,63.8803,
86,Nuevo Ideal,MX,73.11,broken clouds,24.8875,-105.0728,Hotel Las Águilas
87,Port Macquarie,AU,64.36,few clouds,-31.4333,152.9167,Rydges Port Macquarie
88,Chuy,UY,53.02,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
90,Killybegs,IE,55.45,broken clouds,54.6333,-8.45,Tara Hotel
94,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
97,Santa Vitoria Do Palmar,BR,53.69,scattered clouds,-33.5189,-53.3681,Hostel Comodoro
98,Karratha,AU,75.67,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
99,Mezen,RU,54.05,broken clouds,65.8522,44.24,Gostevoy Dom Everest
100,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
101,Porto Novo,BJ,75.72,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
102,Smithers,CA,66.9,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
106,Vanderhoof,CA,77.29,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
108,Kaitangata,NZ,55.02,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
109,Castro,BR,59.23,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
110,Hermanus,ZA,56.89,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
111,Tete,MZ,69.89,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
112,Hofn,IS,52.38,overcast clouds,64.2539,-15.2082,Hótel Höfn
116,Guerrero Negro,MX,77.05,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
121,Desna,UA,70.86,clear sky,50.9273,30.7605,Бомж-Ти-Хаус
122,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
123,Arraial Do Cabo,BR,68.88,clear sky,-22.9661,-42.0278,Pousada Porto Praia
126,Torbay,CA,70.75,few clouds,47.6666,-52.7314,Gallows Cove
127,Lomovka,RU,59.92,broken clouds,53.9194,58.3672,Grand Hostel
128,East London,ZA,58.62,clear sky,-33.0153,27.9116,Tu Casa
131,Tuatapere,NZ,57.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
134,Saskylakh,RU,53.76,broken clouds,71.9167,114.0833,
136,Metro,ID,77.49,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
139,Gafanha Da Encarnacao,PT,69.28,clear sky,40.6181,-8.733,Hotel Barra
140,Dongsheng,CN,67.84,clear sky,39.8161,109.9776,Crowne Plaza Ordos
141,Petropavlovsk-Kamchatskiy,RU,63.19,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
142,Namibe,AO,65.41,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
144,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
145,Geraldton,AU,59.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
146,Beira,MZ,67.28,clear sky,-19.8436,34.8389,Beira Terrace Hotel
147,Thompson,CA,68.97,broken clouds,55.7435,-97.8558,Burntwood Hotel
148,Manono,CD,72.32,clear sky,-7.3,27.4167,Hotel hewa bora
151,Magadan,RU,56.39,overcast clouds,59.5667,150.8,Magadan hotel
152,Santa Cruz,BO,72.86,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
153,Yeniseysk,RU,56.57,broken clouds,58.4497,92.1703,"""Domino"""
154,Kulu,TR,62.98,clear sky,39.0951,33.0799,Kapadokya Motel
155,Cidreira,BR,58.03,scattered clouds,-30.1811,-50.2056,Hotel Castelo
156,Saldanha,ZA,55.76,few clouds,-33.0117,17.9442,Blue Bay Lodge
158,Roald,NO,58.15,broken clouds,62.5833,6.1333,Flem Cabins
160,Coquimbo,CL,53.33,overcast clouds,-29.9533,-71.3436,Punto de encuentro
161,Micheweni,TZ,72.93,scattered clouds,-4.9667,39.8333,
163,Ginir,ET,58.08,few clouds,7.1333,40.7,Sura Dare Village
164,Lata,PT,62.82,clear sky,40.1629,-8.3327,Casa Maquia
166,Ponta Delgada,PT,74.12,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
167,Hirado,JP,72.75,overcast clouds,33.3597,129.5531,Samson Hotel
171,Grand-Lahou,CI,73.9,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
172,Port-Cartier,CA,66.74,scattered clouds,50.0334,-66.8654,Le Q'Artier
173,Sopelana,ES,66.54,broken clouds,43.3789,-2.9831,Hotel Modus Vivendi
176,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
177,Cadillac,US,74.43,clear sky,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
178,Barmer,IN,79.03,broken clouds,25.75,71.3833,OYO 71911 Hotel Amber Palace
180,Yazykovo,RU,59.2,scattered clouds,55.2199,56.1353,Children's camp
181,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
183,Tabou,CI,75.6,clear sky,4.423,-7.3528,hotêl doufoulougou
185,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
188,Nagua,DO,79.45,broken clouds,19.3832,-69.8474,Hotel Cambri
189,Shihezi,CN,70.81,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
190,Baruun-Urt,MN,63.75,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
192,Dunedin,NZ,58.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
193,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
194,Xinzhi,CN,75.16,clear sky,36.4989,111.7047,Mingyue Hotel
195,Port Hedland,AU,75.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
197,Olafsvik,IS,53.37,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
198,Praia Da Vitoria,PT,71.76,broken clouds,38.7333,-27.0667,Hotel Branco I
199,Hualmay,PE,62.22,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
200,Vaitape,PF,78.91,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
202,Goderich,CA,71.56,clear sky,43.7501,-81.7165,Harmony Inn
203,Novyy Urengoy,RU,50.0,broken clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
204,Yatou,CN,77.25,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
207,Flin Flon,CA,78.26,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
208,Lucera,IT,73.22,clear sky,41.5082,15.3351,Villa Imperiale
209,Chegdomyn,RU,68.29,scattered clouds,51.1167,133.0167,Gostinitsa Bureya
213,Yulara,AU,60.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
214,Batemans Bay,AU,61.92,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
216,Yarim,YE,60.39,broken clouds,14.298,44.3779,وليد المسوري ابو اسد
217,Mawlaik,MM,76.87,overcast clouds,23.6333,94.4167,AKZ Guest House
220,Muravlenko,RU,51.12,broken clouds,63.7898,74.523,Hostel Rus Muravlenko
221,Erdenet,MN,61.2,overcast clouds,49.0333,104.0833,Erdenet hotel
222,Pokhara,NP,70.56,broken clouds,28.2333,83.9833,Butterfly Lodge
223,Corner Brook,CA,66.36,broken clouds,48.9667,-57.9484,Glynmill Inn
225,Zhanaozen,KZ,74.01,clear sky,43.3,52.8,K.korabay 28A
226,Yichun,CN,65.32,broken clouds,47.7,128.9,锦江酒店
227,Viedma,AR,62.1,overcast clouds,-40.8135,-62.9967,Hotel Cristal
228,Srandakan,ID,76.96,scattered clouds,-7.9386,110.2506,Puri Brata
230,Severo-Kurilsk,RU,57.45,scattered clouds,50.6789,156.125,Апартаменты/Квартиры посуточно
231,Villeta,CO,71.53,overcast clouds,5.0089,-74.4723,Hotel Villeta Suite
232,Nemuro,JP,57.63,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
234,Nikolskoye,RU,59.02,scattered clouds,59.7035,30.7861,Tourist House - Sablino
236,Shangrao,CN,77.77,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
237,General Pico,AR,51.22,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
238,Vao,NC,68.32,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
239,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
240,Alta Floresta,BR,79.61,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
241,Mega,ET,59.68,overcast clouds,4.05,38.3,Amanuel Guest House
242,Villa Alemana,CL,52.11,overcast clouds,-33.0422,-71.3733,Madrid Guesthouse
244,Kenai,US,68.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
247,Carupano,VE,76.53,overcast clouds,10.6678,-63.2585,Hotel La dorada
248,Loralai,PK,73.26,clear sky,30.3705,68.598,Sana Poultry Loralai
249,Kodinsk,RU,57.43,broken clouds,58.6881,99.1844,
251,Homer,US,60.67,clear sky,59.6425,-151.5483,Beluga Lake Lodge
252,Hamilton,US,74.73,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
253,Khatanga,RU,58.17,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
256,Mataram,ID,77.81,clear sky,-8.5833,116.1167,Hotel Santika Mataram
257,Wattegama,LK,76.23,overcast clouds,6.7989,81.4808,
258,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,Derogongan Residence
264,Irituia,BR,74.37,broken clouds,-1.7711,-47.4381,Hotel Irituia
265,Bone,DE,65.62,broken clouds,51.9669,12.1396,Sporthotel Wallwitz
267,Tigil,RU,64.78,overcast clouds,57.8,158.6667,Tigil'
268,Fethiye,TR,75.07,clear sky,36.6217,29.1164,Club & Hotel Letoonia
269,Ladario,BR,76.21,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
270,Teya,RU,55.81,broken clouds,60.3778,92.6267,
271,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
272,Kawalu,ID,72.55,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
273,Trairi,BR,78.8,scattered clouds,-3.2778,-39.2689,janelas do mar
275,Magdagachi,RU,71.47,scattered clouds,53.45,125.8,Motopolyana Magdagachi
280,Gunjur,GM,78.87,scattered clouds,13.2019,-16.7339,Kuba Lodge
281,Maragogi,BR,72.39,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
284,Tolaga Bay,NZ,57.61,clear sky,-38.3667,178.3,Tolaga Bay Motel
285,Irece,BR,69.8,broken clouds,-11.3042,-41.8558,RADAR INN HOTEL
286,Kushmurun,KZ,66.83,scattered clouds,52.4503,64.6311,Gostinitsa Pri Depo
287,Cowra,AU,56.26,clear sky,-33.8333,148.6833,Cowra Motor Inn
288,Ondjiva,AO,63.57,clear sky,-17.0667,15.7333,SOS Motel
290,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
292,Vulcanesti,MD,67.53,clear sky,45.6842,28.4028,Hotel Speranta
293,Xichang,CN,67.06,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
295,Thessalon,CA,75.69,clear sky,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
296,Yerbogachen,RU,58.21,overcast clouds,61.2767,108.0108,
297,Dinar,TR,62.56,clear sky,38.065,30.1656,Dinar Öğretmenevi
300,Tromso,NO,50.65,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
302,Makrana,IN,79.95,clear sky,27.05,74.7167,Ganpati Guest House
303,Sinnamary,GF,75.43,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
305,Fortuna,US,69.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
306,Zilair,RU,62.44,overcast clouds,52.2332,57.4392,Gostinitsa Rina
308,Okhotsk,RU,64.26,overcast clouds,59.3833,143.3,
309,Diapaga,BF,74.23,broken clouds,12.0708,1.7889,
310,Sayan,PE,67.62,few clouds,-11.1361,-77.1933,Hotel Restaurant Vanessa
311,Ouadda,CF,66.88,overcast clouds,8.0777,22.4007,
312,Talara,PE,64.02,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
313,San Quintin,MX,73.94,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
314,Abalak,RU,56.03,broken clouds,58.1286,68.5944,Туристический комплекс Абалак
316,Kropotkin,RU,67.19,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
318,Tumbes,PE,73.0,broken clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
320,Biltine,TD,78.75,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
322,Chicama,PE,61.34,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
323,Arteaga,MX,70.74,broken clouds,18.4667,-102.4167,
325,Northam,GB,61.66,broken clouds,51.0333,-4.2167,Durrant House Hotel
326,Sao Jose Da Coroa Grande,BR,72.77,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
329,Port-Gentil,GA,76.62,broken clouds,-0.7193,8.7815,Fengshui Residence
330,Saint-Augustin,CA,62.38,broken clouds,51.226,-58.6502,
331,Pentecoste,BR,79.68,broken clouds,-3.7928,-39.2703,Motel Big love
333,Imbituba,BR,64.29,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
335,Pionerskiy,RU,55.24,broken clouds,54.9508,20.2275,Baltica Pension
336,Ahipara,NZ,58.41,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
337,Segou,ML,77.49,overcast clouds,13.4317,-6.2157,Comme chez soi
338,Lindi,TZ,66.18,clear sky,-10.0,39.7167,Lindi paradise house
340,Komsomolskiy,UZ,66.92,clear sky,40.4272,71.7189,Ikathouse
342,Xiangxiang,CN,75.02,overcast clouds,27.7333,112.5333,Huatai International Hotel
343,Khandyga,RU,69.89,overcast clouds,62.6667,135.6,Apel'sin
344,Jinchang,CN,69.26,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
345,Kalinagar,IN,77.36,overcast clouds,28.6167,80.1,कार्यालय नगर पंचायत कलीनगर
346,Ambilobe,MG,66.85,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
